name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
03 06 2017 slice 5 cell 2,5.4382383823394775,-11.053983122110367,168.54242286751355,84.69367772340775,-36.26878187060356,0.9599999999999886,23,304.4199016094208,-79.13670042037963,90.16000000000003,20.0,1.038830516506106,13.709259057529064,BPC
06 22 2017 slice 3 cell 7,0.0,-15.764191746711731,129.03979062307107,71.95087149739265,-39.617426693439484,0.7199999999999984,22,290.04578515887266,-73.55689591795206,95.56,8.278688524590175,1.028036903598255,8.142806858639211,BPC
01 30 2017 slice 4 cell 7,0.0,-14.288317412137985,123.35741606459868,90.10647609829903,-40.873147547245026,0.7999999999999952,16,382.17636263370514,-56.28868888795377,49.32,20.0,1.275359219746779,19.329590192420692,BPC
07 17 2017 slice 3 cell 7,0.0,-5.15240803360939,123.05254378648866,83.6833231151104,-45.172542333602905,0.8799999999999919,29,286.1609266549349,-72.25941976070405,39.31999999999999,18.0,1.0112956567186346,7.283333949851936,BPC
07 17 2017 slice 4 cell 2,5.961179733276367,-15.760954469442368,191.60991160701354,83.8884636759758,-43.80788281559944,0.6400000000000017,16,407.4922988712789,-71.89263139426707,42.920000000000016,10.0,1.1147717519463114,12.959173818248706,BPC
06 07 2017 slice 1 cell 7,0.0,-6.639223545789719,221.14450823870925,95.08539736270905,-47.399383038282394,1.0799999999999976,17,305.69832845032215,-79.24377530559899,27.600000000000012,30.0,1.0419530814832343,7.752380561399576,BPC
04 05 2017 slice 1 cell 2,0.0,-18.655337393283844,138.1197513360235,84.59474518895149,-34.279052168130875,0.7999999999999952,19,319.19177834689606,-81.72399976670744,29.079999999999995,20.0,1.025910816395271,9.418692543878564,BPC
03 11 2017 slice 3 cell 7,0.0,-9.069893509149551,126.85447454844007,83.03932100534439,-42.00585559010506,1.0400000000000131,12,273.14803554117685,-75.54880906373262,43.24,20.0,1.0284308138288492,15.272357148419943,BPC
04 05 2017 slice 1 cell 7,0.0,-14.483928680419922,143.1719428926133,86.9833193719387,-48.948682844638824,0.7199999999999984,35,291.73563207685953,-63.12615000680089,35.36,22.67605633802817,1.098271896609724,12.729557706720811,BPC
07 03 2017 slice 2 cell 7,0.0,-9.947128593921661,290.66220065326104,78.79059389233589,-41.02426767349243,0.6400000000000017,10,258.37220609188086,-69.26795950710772,17.640000000000004,68.00000000000001,1.094726528383837,9.782307499269795,BPC
07 17 2017 slice 5 cell 2,0.0,-18.121853470802307,116.78544636159047,75.27720928192139,-43.98585855960846,0.5600000000000049,48,437.51224808394915,-68.73928315222264,66.28,18.0,1.1419163979265192,19.79220496764346,BPC
03 15 2017 slice 2 cell 3,0.0,-19.742637872695923,119.82117916999195,80.11740818619728,-37.36237436532974,0.8400000000000074,15,222.62214198708534,-73.9059895080328,33.72,69.62962962962963,1.06776258817913,9.298310389162973,BPC
03 17 2017 slice 4 cell 3,0.0,-12.341752648353577,140.04197867029734,80.61064407229424,-43.057799339294434,0.7999999999999952,25,393.4156975597144,-66.46181458890439,108.36000000000001,10.0,1.065294311114939,15.526549898508671,BPC
03 11 2017 slice 1 cell 7,0.0,-13.50211352109909,117.85129096325733,78.92418652772903,-48.48242551088333,1.1600000000000499,13,283.93452075123787,-85.50852206349371,180.16000000000003,20.0,1.0407033173350997,10.575672381528266,BPC
08 06 2017 slice 1 cell 2,4.864096641540527,-6.5331533551216125,195.08708511337488,69.943368434906,-41.06306657195091,1.239999999999991,11,262.12274417281145,-75.05154946923257,57.08000000000002,40.0,0.9247605672830967,11.916299472911202,BPC
08 06 2017 slice 3 cell 7,0.0,-7.974307984113693,160.36767286767298,81.41275867819786,-47.645121812820435,0.6799999999999862,3,217.3583673238754,-66.62914426743983,26.400000000000006,20.0,1.082881559426736,6.925814277279397,BPC
07 19 2017 slice 2 cell 2,0.0,-14.412306249141693,126.42806267806262,79.23178747296333,-36.98687255382538,0.6400000000000017,27,226.01543690264236,-78.27745651602746,40.160000000000004,38.0,1.04530003375648,7.733108845304819,BPC
02 24 2017 slice 3 cell 2,7.69469141960144,-9.781800210475922,142.16896060749866,81.36100694537163,-33.33812952041626,0.6799999999999862,20,338.1702662408351,-63.759399041533484,36.519999999999996,40.0,1.0771049026641932,6.524401834010511,BPC
03 29 2017 slice 1 cell 2,0.0,-7.510501891374588,178.56272343191398,90.90962633490562,-47.788724303245544,0.9200000000000041,15,315.46597377955914,-77.02015067845585,29.320000000000014,20.0,1.0507513117871037,10.130437330359477,BPC
07 18 2017 slice 3 cell 6,0.0,-17.11038127541542,132.0463320463319,67.04467721283436,-38.83795440196991,0.8799999999999919,18,413.93450400233274,-80.88766046881676,418.4800000000001,9.263157894736851,1.0435099494656153,17.271177217937844,BPC
03 17 2017 slice 4 cell 2,0.0,-11.44631952047348,218.08401959762315,72.64143973588943,-33.492039889097214,1.0000000000000009,17,286.97878506779676,-70.83803762257098,193.67999999999998,44.00000000000002,1.4835481160298454,13.740523187844813,BPC
04 28 2017 slice 3 cell 3,5.064230412244797,-10.378405451774597,206.6761725314455,73.42195138335228,-39.78178650140762,0.8799999999999919,16,382.9484563767909,-80.61727136552335,57.63999999999999,20.0,1.0242758466509252,12.527556499602392,BPC
02 10 2017 slice 4 cell 2,6.009332835674286,-14.09219577908516,149.00141392718268,84.57304537296295,-42.07655414938927,0.8799999999999919,25,442.78033041954046,-75.0143410474062,52.72000000000002,20.0,1.0711926142663235,9.988048356100622,BPC
07 05 2017 slice 1 cell 3,7.549438625574112,-5.761142820119858,262.5465178096759,92.87713095545769,-51.57563090324402,0.7599999999999829,11,393.77344542741764,-77.79834214389325,23.8,32.0,1.0586280653182132,12.139951557831086,BPC
05 08 2017 slice 2 cell 3,0.0,-10.165408253669739,148.43141963450086,84.35067161917686,-44.902123510837555,0.9600000000000025,8,291.836709573865,-74.38117140740157,17.640000000000004,20.0,1.0387999528845533,11.103689808226484,BPC
03 17 2017 slice 3 cell 2,0.0,-11.44307479262352,159.87678855325925,84.03567969799042,-46.53448611497879,0.6799999999999862,25,259.5194514691831,-77.50533892691135,31.760000000000012,20.0,1.0330555467186755,5.348003995607733,BPC
03 29 2017 slice 3 cell 7,4.057295620441437,-10.972585529088974,161.19383490073153,85.66981181502342,-48.75096306204796,0.7199999999999984,37,334.2955034524203,-76.04537636026738,48.56000000000002,10.00000000000002,1.0693862759990251,7.203812827406759,BPC
07 03 2017 slice 3 cell 2,0.0,-12.094948440790176,137.5407640344746,71.84447906911373,-45.966602861881256,0.5600000000000049,30,360.99893204867834,-73.58335884034635,38.879999999999995,18.0,1.0654628437858458,8.615311406539508,BPC
03 11 2017 slice 3 cell 2,0.0,-9.806100279092789,131.8146272105218,80.84465190768242,-34.26313027739525,1.0400000000000131,20,346.8724140077828,-69.88374993234874,34.519999999999996,20.0,1.0232667084763678,11.387597354586754,BPC
04 28 2017 slice 5 cell 2,8.605517446994781,-7.864415645599365,219.5285760413305,93.31553801894188,-43.158743530511856,0.8399999999999935,35,347.26351904869085,-72.01739747166633,18.84000000000001,7.0,1.0451941157425644,10.699436969238809,BPC
07 17 2017 slice 1 cell 7,5.381379276514053,-4.787217825651169,393.3750517908933,89.27644044160843,-45.14176771044731,0.9600000000000025,6,258.4503163695335,-77.10399270534515,22.960000000000008,40.0,1.0312419381380507,11.347368338861921,BPC
07 17 2017 slice 1 cell 2,0.0,-6.46108016371727,190.6524846752113,90.23065865039825,-41.35534539818764,0.8799999999999919,16,254.47696721553814,-77.25474007308483,41.160000000000004,40.0,1.022900640073247,7.887257221899089,BPC
02 12 2017 slice 3 cell 7,0.0,-18.215641379356384,140.26308831306187,59.87066775560379,-42.24760830402374,0.4400000000000098,94,149.34723135828966,-69.64522740721704,11.200000000000001,180.0,1.0670670268383962,9.451956709584332,LBC
05 10 2017 slice 2 cell 6,0.0,-18.09021830558777,117.91507970094513,65.18975645303726,-42.76224598288536,0.4800000000000082,99,194.87009001523262,-51.17783396527171,14.64,40.0,1.0352210756407836,8.730464284320439,LBC
06 15 2017 slice 2 cell 7,0.0,-13.96094262599945,118.00563777307963,61.396388337016106,-33.316999673843384,0.6000000000000033,83,161.23593924939638,-76.18835350483656,12.200000000000003,200.0,1.015865274438187,3.570240066835349,LBC
06 16 2017 slice 2 cell 2,0.0,-22.514358162879944,105.71487384579181,59.21732075512409,-38.6534221470356,0.4799999999999943,55,104.12241302430628,-77.98060680180788,17.280000000000005,280.0,1.0361838823033815,6.4492914126188134,LBC
10 19 2016 slice 2 cell 2,0.0,-18.296699970960617,116.13566289825296,61.549173668026924,-39.21683505177498,0.43999999999999595,110,104.53596837818631,-64.48896332114934,8.52,260.0,1.0253666393783378,6.6411071301147855,LBC
09 04 2017 slice 1 cell 7,0.0,-11.795725673437119,159.76525189194507,81.56156539916992,-49.77657273411751,1.0399999999999854,26,410.44953083992004,-79.20844296455383,50.52000000000001,28.0,1.142490314060281,19.367754970390337,MC
05 16 2017 slice 1 cell 7,0.0,-19.379761070013046,110.10101010101008,68.3385320007801,-39.65049609541893,0.5200000000000066,51,126.21155104041095,-59.12680636793376,12.920000000000002,140.0,1.0365873580299085,7.748178864041868,LBC
05 10 2017 slice 1 cell 7,0.0,-21.19191735982895,111.92626789776529,70.16199082136154,-44.76885497570038,0.5199999999999649,93,125.66525401175019,-68.36691669747235,424.68000000000006,130.0,1.0293032170188159,8.216657716548143,LBC
05 10 2017 slice 4 cell 2,0.0,-22.418223321437836,102.86478227654706,57.878339663147926,-41.80540144443512,0.43999999999999595,111,123.66165281832231,-72.04343699127435,17.560000000000006,146.2962962962963,1.0896333607354554,5.690516473757856,LBC
05 10 2017 slice 4 cell 3,0.0,-18.346719443798065,102.75012569130215,60.76812371611595,-40.02467542886734,0.5200000000000066,119,142.23765923082829,-75.07532825633884,12.800000000000006,209.37007874015745,1.031596394531833,5.6157426673119355,LBC
04 03 2017 slice 2 cell 2,0.0,-20.44476568698883,126.66001776247865,68.41273792088032,-37.89538890123367,0.5200000000000066,59,165.72824537754045,-70.26675873756409,14.600000000000001,172.1951219512195,1.0867032404577954,10.359283593648083,LBC
10 19 2016 slice 4 cell 7,0.0,-19.83151212334633,117.96874999999991,61.541758477687836,-37.93298825621605,0.4799999999999943,95,104.17135936021809,-65.2507039898634,16.200000000000006,216.0,1.04760106845013,8.303284307385692,LBC
10 19 2016 slice 3 cell 2,0.0,-13.31847533583641,108.64230225988707,72.29673489928246,-47.23537713289261,0.48000000000003595,103,158.23307922482493,-62.820596116483216,377.88,76.0,1.0436426722250465,7.528002899148658,LBC
07 05 2017 slice 2 cell 2,0.0,-20.697548985481262,105.50852388433111,59.98937413096428,-39.78712111711502,0.4400000000000098,104,190.32977673411384,-68.57749874472617,14.280000000000001,96.0,1.1374280574269053,7.377391884249518,LBC
