name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
03 06 2017 slice 6 cell 2,0.0,-18.047843128442768,107.74808868329514,68.9034927636385,-40.49466922879218,0.5200000000000066,77,245.22515438497064,-66.04730843394994,15.28,60.0,1.0969290305438455,11.585809858284394,SC
09 18 2018 slice 5 cell 2,0.0,-12.611739337444305,131.09107037256052,75.06360486149788,-39.24772515892983,0.6400000000000017,63,91.6459824293852,-68.07671859949826,37.72000000000001,200.0,1.1678840006027733,7.649243942437903,NMC
07 27 2018 slice 3 cell 2,0.0,-15.816885977983475,117.68303216667236,78.26447114348413,-39.393700659275055,0.6000000000000172,57,163.2967685461044,-66.21794014513493,33.32000000000001,114.50980392156859,1.1666884229769496,12.038455183775447,NMC
09 17 2018 slice 9 cell 2,0.0,-9.545546025037766,81.58268146261598,74.53527860343456,-47.70847782492638,0.6800000000000139,54,228.99851951003086,-56.31086028188466,76.08000000000001,49.37499999999999,1.15223249327446,11.831248382875645,NMC
07 27 2018 slice 3 cell 6,0.0,-9.964711964130403,118.09101183353272,86.31372824311256,-50.202783197164536,0.7199999999999984,45,204.93256746232524,-66.75912441045045,52.24000000000001,22.666666666666675,1.0972282121444543,13.042096146893305,NMC
09 17 2018 slice 10 cell 7,0.0,-17.571412026882168,122.36580348242872,64.0466995537281,-32.643046230077736,0.5599999999999772,51,128.37860746681685,-63.26485139636695,142.72000000000003,126.42857142857142,1.1190857324020789,9.060858807221429,NMC
09 18 2018 slice 4 cell 2,0.0,-10.435849428176882,134.27615862398466,66.12409092485905,-46.858150511980064,0.68,78,104.44507242739208,-74.83149082034825,19.76,169.0909090909091,1.2735575765549918,7.720076462600974,NMC
05 07 2018 slice 2 cell 2,0.0,-9.535633027553557,120.06172839506159,79.68926057219504,-41.304364800453186,0.6400000000000017,54,317.31115962564945,-43.17927850037814,41.920000000000016,45.0,1.0926856939347744,13.924610576727734,NMC
09 13 2018 slice 2 cell 2,0.0,-17.591308802366257,117.38934056007223,65.66240079700947,-37.76099532842636,0.4799999999999943,91,129.66406606137755,-60.78831932857634,9.400000000000006,168.85714285714286,1.0682493240242197,6.1314088704215015,NMC
09 18 2018 slice 4 cell 7,0.0,-11.111244559288023,126.69114374721849,72.5652016699314,-45.93844711780548,0.6800000000000139,47,115.76087008416664,-77.39104143828153,37.760000000000026,198.46153846153842,1.1554069450705975,9.54841561438625,NMC
07 27 2018 slice 2 cell 2,0.0,-16.031920909881592,155.47847579189977,68.05657222867012,-34.500442445278175,0.6399999999999739,44,110.26990399509673,-57.26252582296729,160.68,130.34482758620692,1.071698858501575,6.428877340582044,NMC
