branch_points,depth,height,max_branch_angle,max_branch_order,max_path_angle,max_path_dist_to_soma,max_segment_length,max_tortuosity,mean_branch_angle,mean_intial_segment_radius,mean_neurite_radius,mean_path_angle,mean_tortuosity,min_branch_angle,min_path_angle,min_tortuosity,name,soma_radius,stems,tips,total_length,type,width
121,99.6,526.16,175.75250276259547,20,176.32950349168442,866.3890872684793,290.71534772497915,4.546844915699159,80.63984939576244,0.46,0.0558565737051793,19.655804014681888,1.470693451897349,0.017937523941505298,0.0,1.0000013105725047,MC_2017 22 08 slice 2 cell 7 rotated.swc,7.841545850525201,6,131,14821.411891649484,MC,318.03
182,101.66,723.0600000000002,168.11093461062418,17,169.09519110843738,816.8630162768353,311.14801403821235,4.3224923952620635,72.18376130453842,0.4870833333333333,0.11444297082228118,20.648263523227094,1.3010994963842468,0.15129072835778712,0.0,1.0,LBC_2017 14 09 salice 2 cell 7 rotated.swc,10.369542409138855,12,196,18436.763591536583,LBC,672.78
191,120.14,706.8199999999998,174.79481885723126,21,179.82690149488118,736.2042312013958,401.57789990155874,2.1722668364388884,74.23440603552994,0.5486363636363636,0.08537500000000002,19.888005065140053,1.224965123149635,0.2894326366269163,0.0,1.0000007542813414,MC_2017 03 05 slice 3 cell 7 rotated.swc,10.328702446180811,11,210,20449.85026639114,MC,443.52
206,76.19,400.23,178.8160581310384,25,180.0,803.9654568657749,320.8701797373155,256.16519459889383,80.07625904621382,0.3925,0.05839120370370372,17.99535612554359,2.0545133733385432,0.15121369863147086,0.0,1.0,NGC_2017 25 10 slice 2 cell 7 rotated.swc,6.650229475297262,12,227,21580.628927837406,NGC,452.21
222,133.47,818.94,172.89088542913447,18,169.61004314371397,958.3790005671477,338.8319462674212,2.008469058105933,66.32753720387778,0.3125,0.09564410480349343,18.745219986286344,1.221896699327741,0.08976775108408162,0.0,1.0000492365565017,DBC_2017 03 04 slice 4 cell 2 rotated.swc,10.350654828944872,8,237,26257.496300369516,DBC,485.57000000000005
133,139.31,777.8599999999999,173.6814630836471,25,176.1859251657161,667.4768797648271,378.36964078589614,3.9852946486506897,72.48419388557446,0.562857142857143,0.08131294964028778,19.8992310156012,1.3425699038528591,0.4797889300228354,0.0,1.000002788166907,MC_2017 19 07 slice 4 cell7 rotated.swc,9.088405379186186,7,146,14627.493249161073,MC,361.75
302,62.82,398.59,176.99391578747773,41,179.26789466560768,1167.1525331843436,209.0644508951781,56.06040061072567,75.7744239304307,0.2715,0.04479326186830017,21.14159993347712,1.3588277833374212,0.08317356464891935,0.0,1.0,NGC_2017 28 04 slice 2 cell 2 rotated.swc,6.100374268977817,10,352,27078.421954340716,NGC,315.27
94,98.09,734.08,178.07159770233554,18,172.64499430133694,589.0149783571308,310.774809247368,9.651431174046678,58.41848384634678,0.4916666666666666,0.12351758793969846,19.697337423781367,1.2408993515436575,0.8943526073266385,0.0,1.0,DBC_2017 16 05 slice 1 cell 6 rotated.swc,12.608029331763197,6,106,11691.394338776241,DBC,366.99
93,82.69,548.64,159.96240082004778,11,165.86448492112288,467.7938824005232,274.6089450817777,2.4862863724413544,61.15039594899441,0.4037500000000001,0.08205729166666667,17.933881792036747,1.202903713837315,6.968269593442099,0.0,1.000000899609677,LBC_2017 17 07 slice 3  cell 2 rotated.swc,8.3126300827096,4,100,10902.525066299593,LBC,375.35
116,140.11,642.22,175.58064636971562,16,172.16239433508977,831.9420533543062,280.32676424740447,2.5907001240935745,74.05754315406236,0.31000000000000005,0.10429435483870966,19.263268925841167,1.2946315813648144,0.0647333704170142,0.0,1.0000066873631106,LBC_2017 18 07 slice 1 cell 7 rotated.swc,11.334381933580884,12,133,14567.533085577452,LBC,528.96
