,branch_points,depth,height,max_branch_angle,max_branch_order,max_path_angle,max_path_dist_to_soma,max_segment_length,max_tortuosity,mean_branch_angle,mean_path_angle,mean_tortuosity,min_branch_angle,min_path_angle,min_tortuosity,name,stems,tips,total_length,type,width
name,128,72.19,535.75,175.48026462308434,16,172.144319997989,710.2396361382698,259.4587637756721,1.9638465760154538,75.56747872564635,25.46756584518652,1.1981097519129138,0.026627239008314922,0.0,1.0,BC_2016 13 08 slice 2 cell 2 rotated.swc,16,147,13736.769258258688,BC,582.0999999999999
name,111,120.99,626.42,174.39743580063652,16,180.0,800.2142136444166,226.42781940388863,5.67329213917408,72.12835401368127,35.495137116151405,1.61595645711288,0.027649860081542056,0.0,1.0,BC_2017 27 01 slice 4 cell 7 rotated.swc,14,124,13864.545912002197,BC,454.85
name,191,113.94,706.8199999999999,174.79218869857468,21,179.4636157287177,767.6684320190622,346.5335946196271,2.451218969103815,74.56416501764063,29.087054686627027,1.2990322289812277,0.33701508458796486,0.0,1.0,MC_2017 03 05 slice 3 cell 7 rotated.swc,11,210,21613.2770528997,MC,441.39
name,123,84.75,514.17,170.4545462178435,15,180.0,603.5679487052362,289.752125962865,3.240523262517389,70.78916126914963,28.218134465820967,1.329698022860193,0.043562049149658916,0.0,1.0,MC_2017 17 04 slice 1 cell 7 rotated.swc,12,146,18822.981522454178,MC,437.47
name,302,147.07,773.0999999999999,171.3327723344127,31,180.0,1773.60835888275,441.10700969265946,17.188570901998496,81.63752346486082,32.395755841192525,1.980499287271319,7.793428381115942,0.0,1.0,SOM L4 S1_j161128s1c7 rotated.swc,5,315,49388.40230993752,SOM L4 S1,517.42
name,92,99.28999999999999,734.08,177.9860326213885,18,180.0,622.0807867057214,258.5653188267909,2.4236280914667137,57.622971756593884,28.577694635718323,1.2564608905521604,3.596446854477947,0.0,1.0,DBC_2017 16 05 slice 1 cell 6 rotated.swc,6,104,12344.544015931882,DBC,366.55
name,172,89.25,599.9300000000001,179.8897936866373,24,179.54767429577322,1011.3257034064343,283.9867613111569,5.30540911682263,77.09016217053748,28.256188301010205,1.401370165260489,3.619461722493044,0.0,1.0,BC_2017 17 04 slice 1 cell 2 rotated.swc,12,188,19434.42842671976,BC,625.05
name,119,73.2,541.93,160.8509877681801,17,178.79936601847552,704.3520857281511,292.7455772509638,3.8352008996635596,74.64917581088908,25.932000599654366,1.3433707008137254,0.1296417653802715,0.0,1.0,BC_2017 02 08 slice 3 cell 7 rotated.swc,6,127,14283.243462585944,BC,387.88
name,112,74.63,655.47,169.12667333423622,14,179.0515232241128,658.0737158776524,346.76933514946217,4.014203205094544,77.68117755075227,27.24998243126199,1.3465796369373908,0.24382146658190768,0.0,1.0,BC_2017 02 08 slice 3 cell 2 rotated.swc,6,124,14301.48101432099,BC,444.59000000000003
name,49,91.96,947.51,175.22049553187315,19,171.76072851436274,746.809265748412,223.5540321711957,2.2083555780294195,63.045138430585084,30.568107285284416,1.3316532287188934,2.9622492031344576,0.0,1.0,BPC_2017 03 07 slice 2 cell 7 rotated.swc,4,56,5580.055110404366,BPC,172.74
